sessionId,raceId,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fa-12,fa-2,2023,2,9,9,2,False,,11,jessica-edgar,rodin-carlin,17,27:30.479,1650479,28030,,False,7,1:36.120,96120,148.5
fa-12,fa-2,2023,2,10,10,1,False,,2,lola-lovinfosse,campos-racing,17,27:31.137,1651137,28690,,False,6,1:36.027,96027,148.4
fa-12,fa-2,2023,2,11,11,0,False,,10,abbi-pulling,rodin-carlin,17,27:32.740,1652740,30290,,False,6,1:36.104,96104,148.3
fa-12,fa-2,2023,2,12,12,0,False,,8,carrie-schreiner,art-grand-prix,17,27:33.670,1653670,31220,,False,8,1:35.902,95902,148.2
fa-12,fa-2,2023,2,13,13,0,False,,3,maite-caceres,campos-racing,17,27:43.830,1663830,44480,,False,5,1:36.318,96318,147.0
fa-12,fa-2,2023,2,14,14,0,False,,5,emely-de-heus,mp-motorsport,17,27:46.925,1666925,41380,,False,3,1:36.113,96113,147.3
fa-50,fa-2,2023,2,1,1,10,False,,16,bianca-bustamante,prema-racing,11,18:49.969,1129969,,,False,5,1:35.718,95718,151.1
fa-50,fa-2,2023,2,2,2,8,False,,7,lena-buhler,art-grand-prix,11,18:50.710,1130710,741,,False,8,1:35.726,95726,151.2
fa-50,fa-2,2023,2,3,3,7,False,,4,hamda-al-qubaisi,mp-motorsport,11,18:51.122,1131122,1153,,True,8,1:35.709,95709,152.3
fa-50,fa-2,2023,2,4,4,5,False,,6,amna-al-qubaisi,mp-motorsport,11,18:55.113,1135113,5144,,False,4,1:35.725,95725,150.6
fa-50,fa-2,2023,2,5,5,4,False,,15,marta-garcia,prema-racing,11,18:55.342,1135342,5373,,False,6,1:35.845,95845,151.1
fa-50,fa-2,2023,2,6,6,3,False,,14,chloe-chong,prema-racing,11,18:57.488,1137488,7519,,False,9,1:35.927,95927,150.3
fa-50,fa-2,2023,2,7,7,2,False,,9,chloe-grant,art-grand-prix,11,18:58.922,1138922,8953,,False,8,1:35.844,95844,150.4
fa-50,fa-2,2023,2,8,8,1,False,,2,lola-lovinfosse,campos-racing,11,19:00.271,1140271,10300,,False,8,1:35.900,95900,150.3
fa-50,fa-2,2023,2,9,9,0,False,,11,jessica-edgar,rodin-carlin,11,19:01.719,1141719,11750,,False,10,1:36.190,96190,149.9
fa-50,fa-2,2023,2,10,10,0,False,,3,maite-caceres,campos-racing,11,19:05.340,1145340,15370,,False,8,1:35.844,95844,150.4
fa-50,fa-2,2023,2,11,11,0,False,,8,carrie-schreiner,art-grand-prix,11,19:37.895,1177895,47920,,False,5,1:35.865,95865,150.4
fa-50,fa-2,2023,2,12,12,0,False,,10,abbi-pulling,rodin-carlin,11,19:42.798,1182798,52820,,False,6,1:36.414,96414,149.5
fa-50,fa-2,2023,2,13,13,0,False,,12,megan-gilkes,rodin-carlin,11,19:45.428,1185428,55450,,False,10,1:36.200,96200,149.9
fa-14,fa-2,2023,2,1,1,28,True,,15,marta-garcia,prema-racing,17,28:05.291,1685291,,,True,3,1:34.834,94834,
fa-14,fa-2,2023,2,2,2,18,False,,1,nerea-marti,campos-racing,17,28:06.312,1686312,1021,,False,10,1:34.851,94851,
fa-14,fa-2,2023,2,3,3,15,False,,10,abbi-pulling,rodin-carlin,17,28:09.442,1689442,4151,,False,5,1:35.328,95328,
fa-14,fa-2,2023,2,4,4,12,False,,7,lena-buhler,art-grand-prix,17,28:09.839,1689839,4548,,False,5,1:35.251,95251,
fa-14,fa-2,2023,2,5,5,10,False,,4,hamda-al-qubaisi,mp-motorsport,17,28:14.716,1694716,9425,,False,10,1:34.918,94918,
fa-14,fa-2,2023,2,6,6,8,False,,6,amna-al-qubaisi,mp-motorsport,17,28:15.257,1695257,9966,,False,11,1:35.871,95871,
fa-14,fa-2,2023,2,7,7,6,False,,16,bianca-bustamante,prema-racing,17,28:15.740,1695740,10440,,False,16,1:35.907,95907,
fa-14,fa-2,2023,2,8,8,4,False,,8,carrie-schreiner,art-grand-prix,17,28:16.801,1696801,11510,,False,9,1:36.484,96484,
fa-14,fa-2,2023,2,9,9,2,False,,11,jessica-edgar,rodin-carlin,17,28:20.439,1700439,15140,,False,15,1:35.887,95887,
fa-14,fa-2,2023,2,10,10,1,False,,5,emely-de-heus,mp-motorsport,17,28:21.128,1701128,15830,,False,3,1:36.020,96020,
fa-14,fa-2,2023,2,11,11,0,False,,9,chloe-grant,art-grand-prix,17,28:29.243,1709243,24050,,False,8,1:35.728,95728,
fa-14,fa-2,2023,2,12,12,0,False,,3,maite-caceres,campos-racing,17,28:32.404,1712404,17110,,False,2,1:36.289,96289,
fa-14,fa-2,2023,2,13,13,0,False,,12,megan-gilkes,rodin-carlin,16,26:44.587,1604587,,1,False,8,1:36.722,96722,
